From	To	Species	Gene Name
ENSTGUG00000001427	101233460	Taeniopygia guttata	STEAP2 metalloreductase(STEAP2)
ENSTGUG00000002758	100227472	Taeniopygia guttata	enhancer of zeste 1 polycomb repressive complex 2 subunit(EZH1)
ENSTGUG00000001426	100223127	Taeniopygia guttata	endosome-lysosome associated apoptosis and autophagy regulator 1(ELAPOR1)
ENSTGUG00000002757	100224471	Taeniopygia guttata	nucleoporin 42(NUP42)
ENSTGUG00000001429	100231554	Taeniopygia guttata	family with sequence similarity 237 member B(FAM237B)
ENSTGUG00000002759	100222001	Taeniopygia guttata	importin 11(IPO11)
ENSTGUG00000002750	100223519	Taeniopygia guttata	mitogen-activated protein kinase 10(MAPK10)
ENSTGUG00000001421	100229335	Taeniopygia guttata	elongator acetyltransferase complex subunit 1(ELP1)
ENSTGUG00000001420	100220830	Taeniopygia guttata	histone deacetylase 1(HDAC1)
ENSTGUG00000002751	100190469	Taeniopygia guttata	proteasome 26S subunit, ATPase 2(PSMC2)
ENSTGUG00000001423	100230577	Taeniopygia guttata	STEAP4 metalloreductase(STEAP4)
ENSTGUG00000002754	100217726	Taeniopygia guttata	WD repeat containing, antisense to TP73(WRAP73)
ENSTGUG00000001422	100190449	Taeniopygia guttata	translocase of inner mitochondrial membrane 17A(TIMM17A)
ENSTGUG00000001425	100226860	Taeniopygia guttata	STEAP family member 1(STEAP1)
ENSTGUG00000002756	100221446	Taeniopygia guttata	anaphase promoting complex subunit 2(ANAPC2)
ENSTGUG00000001424	100225842	Taeniopygia guttata	zinc finger protein 804B(ZNF804B)
ENSTGUG00000013405	100190794	Taeniopygia guttata	dopamine receptor D3(DRD3)
ENSTGUG00000014736	100220649	Taeniopygia guttata	eukaryotic translation termination factor 1(ETF1)
ENSTGUG00000013406	100220757	Taeniopygia guttata	queuine tRNA-ribosyltransferase accessory subunit 2(QTRT2)
ENSTGUG00000013407	100221717	Taeniopygia guttata	coiled-coil domain containing 191(CCDC191)
ENSTGUG00000013408	100218871	Taeniopygia guttata	zinc finger DHHC-type palmitoyltransferase 23(ZDHHC23)
ENSTGUG00000013409	100228484	Taeniopygia guttata	GRAM domain containing 1C(GRAMD1C)
ENSTGUG00000013400	100232311	Taeniopygia guttata	immunoglobulin superfamily member 11(IGSF11)
ENSTGUG00000013402	100229373	Taeniopygia guttata	limbic system associated membrane protein(LSAMP)
ENSTGUG00000013404	105758690	Taeniopygia guttata	zinc finger and BTB domain containing 20(ZBTB20)
ENSTGUG00000001416	100219772	Taeniopygia guttata	TBC1 domain family member 2(TBC1D2)
ENSTGUG00000002747	100226869	Taeniopygia guttata	RAB3 GTPase activating non-catalytic protein subunit 2(RAB3GAP2)
ENSTGUG00000001415	100225940	Taeniopygia guttata	adiponectin receptor 1(ADIPOR1)
ENSTGUG00000002746	100228349	Taeniopygia guttata	fibrinogen like 2(FGL2)
ENSTGUG00000001418	115498263	Taeniopygia guttata	LCK proto-oncogene, Src family tyrosine kinase(LCK)
ENSTGUG00000002748	100225466	Taeniopygia guttata	family with sequence similarity 185 member A(FAM185A)
ENSTGUG00000001419	100227780	Taeniopygia guttata	ATPase phospholipid transporting 10B (putative)(ATP10B)
ENSTGUG00000001410	100230538	Taeniopygia guttata	SLU7 homolog, splicing factor(SLU7)
ENSTGUG00000002741	115498002	Taeniopygia guttata	coiled-coil domain containing 27(CCDC27)
ENSTGUG00000002740	100221544	Taeniopygia guttata	kelch like family member 7(KLHL7)
ENSTGUG00000001412	100226641	Taeniopygia guttata	myotubularin-related protein 9-like(LOC100226641)
ENSTGUG00000002743	100220605	Taeniopygia guttata	tumor protein p73(TP73)
ENSTGUG00000001411	100228804	Taeniopygia guttata	ubiquitin conjugating enzyme E2 T(UBE2T)
ENSTGUG00000002745	100223569	Taeniopygia guttata	protein tyrosine phosphatase non-receptor type 13(PTPN13)
ENSTGUG00000001413	100190353	Taeniopygia guttata	sorcin(SRI)
ENSTGUG00000001449	100224722	Taeniopygia guttata	Ras related GTP binding C(RRAGC)
ENSTGUG00000000117	100229134	Taeniopygia guttata	RNA binding motif protein 7(RBM7)
ENSTGUG00000000118	100229939	Taeniopygia guttata	ELAV like RNA binding protein 1(ELAVL1)
ENSTGUG00000002779	100221923	Taeniopygia guttata	ring finger protein 180(RNF180)
ENSTGUG00000000119	100229325	Taeniopygia guttata	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1(SMARCC1)
ENSTGUG00000014760	100226431	Taeniopygia guttata	heat shock protein family A (Hsp70) member 9(HSPA9)
ENSTGUG00000001441	100226520	Taeniopygia guttata	aprataxin(APTX)
ENSTGUG00000001440	100224835	Taeniopygia guttata	gamma-aminobutyric acid type A receptor subunit alpha6(GABRA6)
ENSTGUG00000002771	100219690	Taeniopygia guttata	multiple EGF like domains 6(MEGF6)
ENSTGUG00000001443	100223905	Taeniopygia guttata	A-kinase anchoring protein 9(AKAP9)
ENSTGUG00000002774	100224587	Taeniopygia guttata	receptor activity modifying protein 2(RAMP2)
ENSTGUG00000001442	100225791	Taeniopygia guttata	frizzled class receptor 1(FZD1)
ENSTGUG00000000112	100232271	Taeniopygia guttata	DExH-box helicase 30(DHX30)
ENSTGUG00000002773	100231176	Taeniopygia guttata	insulin like growth factor 2 mRNA binding protein 3(IGF2BP3)
ENSTGUG00000001445	100231385	Taeniopygia guttata	zinc metallopeptidase STE24(ZMPSTE24)
ENSTGUG00000000113	100227675	Taeniopygia guttata	N-acetylneuraminate synthase(NANS)
ENSTGUG00000002776	100227736	Taeniopygia guttata	5-hydroxytryptamine receptor 1A(HTR1A)
ENSTGUG00000001444	100232614	Taeniopygia guttata	cadherin EGF LAG seven-pass G-type receptor 2(CELSR2)
ENSTGUG00000000114	100190164	Taeniopygia guttata	clathrin light chain A(CLTA)
ENSTGUG00000002775	100217729	Taeniopygia guttata	COP9 signalosome subunit 4(COPS4)
ENSTGUG00000001447	100225646	Taeniopygia guttata	RLF zinc finger(RLF)
ENSTGUG00000001446	100190367	Taeniopygia guttata	DnaJ heat shock protein family (Hsp40) member A1(DNAJA1)
ENSTGUG00000000116	100232059	Taeniopygia guttata	zinc finger and BTB domain containing 16(ZBTB16)
ENSTGUG00000013427	100228436	Taeniopygia guttata	solute carrier family 19 member 2(SLC19A2)
ENSTGUG00000013429	100219799	Taeniopygia guttata	basic leucine zipper nuclear factor 1(BLZF1)
ENSTGUG00000002781	101233825	Taeniopygia guttata	cyclin N-terminal domain containing 1(CNTD1)
ENSTGUG00000013420	100190181	Taeniopygia guttata	TATA-box binding protein associated factor 13(TAF13)
ENSTGUG00000013421	100220699	Taeniopygia guttata	GTP binding protein 8 (putative)(GTPBP8)
ENSTGUG00000014753	100228137	Taeniopygia guttata	protein phosphatase, Mg2+/Mn2+ dependent 1G(PPM1G)
ENSTGUG00000013423	100221724	Taeniopygia guttata	coiled-coil domain containing 80(CCDC80)
ENSTGUG00000013424	100224592	Taeniopygia guttata	solute carrier family 35 member A5(SLC35A5)
ENSTGUG00000013426	100218879	Taeniopygia guttata	autophagy related 3(ATG3)
ENSTGUG00000013426	100218818	Taeniopygia guttata	coagulation factor V(F5)
ENSTGUG00000014757	115494842	Taeniopygia guttata	ventral anterior homeobox 2(VAX2)
ENSTGUG00000001438	100224781	Taeniopygia guttata	leucine zipper protein 1(LUZP1)
ENSTGUG00000002769	100232210	Taeniopygia guttata	N-acyl phosphatidylethanolamine phospholipase D(NAPEPLD)
ENSTGUG00000001437	100220123	Taeniopygia guttata	seryl-tRNA synthetase 1(SARS1)
ENSTGUG00000000107	100229133	Taeniopygia guttata	5-hydroxytryptamine receptor 3A(LOC100229133)
ENSTGUG00000002768	115497551	Taeniopygia guttata	discoidin domain-containing receptor 2(LOC115497551)
ENSTGUG00000001439	100221744	Taeniopygia guttata	lysine demethylase 1A(KDM1A)
ENSTGUG00000001430	100221050	Taeniopygia guttata	GTP-binding protein 10(LOC100221050)
ENSTGUG00000002761	100220608	Taeniopygia guttata	Rho GTPase activating protein 24(ARHGAP24)
ENSTGUG00000002760	751774	Taeniopygia guttata	androgen receptor(AR)
ENSTGUG00000000100	100228103	Taeniopygia guttata	potassium voltage-gated channel subfamily V member 2(LOC100228103)
ENSTGUG00000002763	100218700	Taeniopygia guttata	glycoprotein nmb(GPNMB)
ENSTGUG00000001431	100217979	Taeniopygia guttata	transmembrane protein 39B(TMEM39B)
ENSTGUG00000001434	100225766	Taeniopygia guttata	cyclin dependent kinase 14(CDK14)
ENSTGUG00000000102	100222316	Taeniopygia guttata	DNA polymerase epsilon 4, accessory subunit(POLE4)
ENSTGUG00000002765	100219708	Taeniopygia guttata	armadillo repeat containing 10(ARMC10)
ENSTGUG00000000103	100232435	Taeniopygia guttata	tripartite motif containing 14(TRIM14)
ENSTGUG00000002764	100223980	Taeniopygia guttata	isoleucyl-tRNA synthetase 2, mitochondrial(IARS2)
ENSTGUG00000001436	100227617	Taeniopygia guttata	5-hydroxytryptamine receptor 1D(HTR1D)
ENSTGUG00000000105	100231934	Taeniopygia guttata	excitatory amino acid transporter 5-like(LOC100231934)
ENSTGUG00000002766	100222561	Taeniopygia guttata	tumor protein p63 regulated 1 like(TPRG1L)
ENSTGUG00000013417	100226489	Taeniopygia guttata	BOC cell adhesion associated, oncogene regulated(BOC)
ENSTGUG00000013418	115493776	Taeniopygia guttata	protein spire homolog 1(LOC115493776)
ENSTGUG00000013419	100223623	Taeniopygia guttata	nucleolus and neural progenitor protein(NEPRO)
ENSTGUG00000002770	100218685	Taeniopygia guttata	mitochondrial assembly of ribosomal large subunit 1(MALSU1)
ENSTGUG00000013410	115493810	Taeniopygia guttata	uncharacterized LOC115493810(LOC115493810)
ENSTGUG00000013411	100222730	Taeniopygia guttata	phospholipase A2(LOC100222730)
ENSTGUG00000013412	100217896	Taeniopygia guttata	claudin domain containing 1(CLDND1)
ENSTGUG00000013413	100227541	Taeniopygia guttata	apovitellenin-1(LOC100227541)
ENSTGUG00000013415	100229409	Taeniopygia guttata	cilia and flagella associated protein 44(CFAP44)
ENSTGUG00000014780	100222286	Taeniopygia guttata	E3 ubiquitin-protein ligase RNF19B(LOC100222286)
ENSTGUG00000013451	100229928	Taeniopygia guttata	ring finger protein 169(RNF169)
ENSTGUG00000012120	100227839	Taeniopygia guttata	KLF transcription factor 10(KLF10)
ENSTGUG00000002794	100230184	Taeniopygia guttata	lin-54 DREAM MuvB core complex component(LIN54)
ENSTGUG00000001462	100190221	Taeniopygia guttata	ATP synthase peripheral stalk-membrane subunit b(ATP5PB)
ENSTGUG00000000132	100221859	Taeniopygia guttata	polycomb group ring finger 3(PCGF3)
ENSTGUG00000002793	100223630	Taeniopygia guttata	hephaestin(HEPH)
ENSTGUG00000001465	100232675	Taeniopygia guttata	WD repeat domain 77(WDR77)
ENSTGUG00000000133	100231374	Taeniopygia guttata	solute carrier family 49 member 3(SLC49A3)
ENSTGUG00000002796	100218061	Taeniopygia guttata	glutamyl-prolyl-tRNA synthetase 1(EPRS1)
ENSTGUG00000001464	100221802	Taeniopygia guttata	four and a half LIM domains 3(FHL3)
ENSTGUG00000000134	100229943	Taeniopygia guttata	Yip1 domain family member 5(YIPF5)
ENSTGUG00000002795	100225439	Taeniopygia guttata	transformer 2 alpha homolog(TRA2A)
ENSTGUG00000001467	115491198	Taeniopygia guttata	serine peptidase inhibitor Kazal type 4(SPINK4)
ENSTGUG00000000135	100221863	Taeniopygia guttata	neuronal acetylcholine receptor subunit alpha-7-like(LOC100221863)
ENSTGUG00000001466	100226638	Taeniopygia guttata	splicing factor 3a subunit 3(SF3A3)
ENSTGUG00000002797	100190280	Taeniopygia guttata	proteasome activator subunit 3(PSME3)
ENSTGUG00000001469	100217859	Taeniopygia guttata	XPA, DNA damage recognition and repair factor(XPA)
ENSTGUG00000000137	100227124	Taeniopygia guttata	retina and anterior neural fold homeobox 2(RAX2)
ENSTGUG00000000138	100223311	Taeniopygia guttata	mucosa-associated lymphoid tissue lymphoma translocation protein 1(LOC100223311)
ENSTGUG00000002799	100222950	Taeniopygia guttata	ADAM metallopeptidase with thrombospondin type 1 motif 6(ADAMTS6)
ENSTGUG00000013449	100223373	Taeniopygia guttata	prolyl 4-hydroxylase subunit alpha 3(P4HA3)
ENSTGUG00000012116	100230547	Taeniopygia guttata	ATP binding cassette subfamily D member 4(ABCD4)
ENSTGUG00000012115	100222464	Taeniopygia guttata	tripartite motif containing 13(TRIM13)
ENSTGUG00000012113	100229144	Taeniopygia guttata	sestrin 1(SESN1)
ENSTGUG00000001472	100230311	Taeniopygia guttata	nuclear cap binding protein subunit 1(NCBP1)
ENSTGUG00000000140	100008583	Taeniopygia guttata	nuclear receptor subfamily 3 group C member 1(NR3C1)
ENSTGUG00000001471	100220050	Taeniopygia guttata	ankyrin repeat and IBR domain containing 1(ANKIB1)
ENSTGUG00000000141	100227290	Taeniopygia guttata	BUD13 homolog(BUD13)
ENSTGUG00000013441	100228433	Taeniopygia guttata	collagen type VIII alpha 1 chain(COL8A1)
ENSTGUG00000013442	100224236	Taeniopygia guttata	URB1 ribosome biogenesis homolog(URB1)
ENSTGUG00000013443	100218472	Taeniopygia guttata	eva-1 homolog C(EVA1C)
ENSTGUG00000013444	100190060	Taeniopygia guttata	cilia and flagella associated protein 298(CFAP298)
ENSTGUG00000013445	100228100	Taeniopygia guttata	synaptojanin 1(SYNJ1)
ENSTGUG00000013448	100228154	Taeniopygia guttata	protein phosphatase methylesterase 1(PPME1)
ENSTGUG00000012118	100227796	Taeniopygia guttata	pre-mRNA processing factor 40 homolog A(PRPF40A)
ENSTGUG00000000128	100223431	Taeniopygia guttata	cell adhesion molecule 1(CADM1)
ENSTGUG00000001459	100222928	Taeniopygia guttata	KRIT1 ankyrin repeat containing(KRIT1)
ENSTGUG00000000129	100227191	Taeniopygia guttata	potassium channel tetramerization domain containing 16(KCTD16)
ENSTGUG00000013440	100222736	Taeniopygia guttata	ST3 beta-galactoside alpha-2,3-sialyltransferase 6(ST3GAL6)
ENSTGUG00000001452	105758880	Taeniopygia guttata	peptidylprolyl isomerase like 1(PPIL1)
ENSTGUG00000000120	100226686	Taeniopygia guttata	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase(GNE)
ENSTGUG00000001451	100220976	Taeniopygia guttata	lanosterol 14-alpha demethylase(LOC100220976)
ENSTGUG00000000121	100226295	Taeniopygia guttata	RNA exonuclease 2(REXO2)
ENSTGUG00000000122	100229039	Taeniopygia guttata	SH3 domain containing ring finger 2(SH3RF2)
ENSTGUG00000001453	100190686	Taeniopygia guttata	UTP11 small subunit processome component(UTP11)
ENSTGUG00000000123	100229024	Taeniopygia guttata	megakaryocyte-associated tyrosine kinase(MATK)
ENSTGUG00000002784	100218814	Taeniopygia guttata	beclin 1(BECN1)
ENSTGUG00000001456	100151697	Taeniopygia guttata	RAP1A, member of RAS oncogene family(RAP1A)
ENSTGUG00000001455	115492491	Taeniopygia guttata	inka box actin regulator 2(INKA2)
ENSTGUG00000001458	100217867	Taeniopygia guttata	SMU1 DNA replication regulator and spliceosomal factor(SMU1)
ENSTGUG00000002789	100219448	Taeniopygia guttata	3'(2'), 5'-bisphosphate nucleotidase 1(BPNT1)
ENSTGUG00000001457	751992	Taeniopygia guttata	gamma-aminobutyric acid type A receptor subunit alpha1(GABRA1)
ENSTGUG00000002788	100101449	Taeniopygia guttata	tubulin beta 4B class IVb(TUBB4B)
ENSTGUG00000013438	100227475	Taeniopygia guttata	transcription termination factor 2(TTF2)
ENSTGUG00000012106	100232653	Taeniopygia guttata	glycogen synthase 2(GYS2)
ENSTGUG00000013439	100221663	Taeniopygia guttata	coproporphyrinogen oxidase(CPOX)
ENSTGUG00000012104	100220552	Taeniopygia guttata	ribonuclease H2 subunit B(RNASEH2B)
ENSTGUG00000012102	100230618	Taeniopygia guttata	formin like 2(FMNL2)
ENSTGUG00000002790	100225816	Taeniopygia guttata	CWC27 spliceosome associated cyclophilin(CWC27)
ENSTGUG00000001461	100228742	Taeniopygia guttata	gamma-aminobutyric acid type A receptor subunit gamma2(GABRG2)
ENSTGUG00000002792	100230249	Taeniopygia guttata	DnaJ heat shock protein family (Hsp40) member C2(DNAJC2)
ENSTGUG00000002791	100228113	Taeniopygia guttata	probable G-protein coupled receptor 83(LOC100228113)
ENSTGUG00000013430	100232302	Taeniopygia guttata	NME/NM23 family member 7(NME7)
ENSTGUG00000013431	100229364	Taeniopygia guttata	ATPase Na+/K+ transporting subunit beta 1(ATP1B1)
ENSTGUG00000014763	100229676	Taeniopygia guttata	acrosin-like(LOC100229676)
ENSTGUG00000013433	100227529	Taeniopygia guttata	monocyte chemotactic protein 1B(LOC100227529)
ENSTGUG00000013434	100228492	Taeniopygia guttata	T-box transcription factor 19(TBX19)
ENSTGUG00000012109	100220947	Taeniopygia guttata	visual system homeobox 2(VSX2)
ENSTGUG00000013437	100217824	Taeniopygia guttata	G protein-coupled receptor 161(GPR161)
ENSTGUG00000012107	100219566	Taeniopygia guttata	centrosomal protein 57 like 1(CEP57L1)
ENSTGUG00000017274	100224683	Taeniopygia guttata	methyltransferase 13, eEF1A N-terminus and K55(METTL13)
ENSTGUG00000017273	100231469	Taeniopygia guttata	class I histocompatibility antigen, F10 alpha chain(LOC100231469)
ENSTGUG00000017279	100190278	Taeniopygia guttata	inosine triphosphatase(ITPA)
ENSTGUG00000005294	100221626	Taeniopygia guttata	Bardet-Biedl syndrome 9(BBS9)
ENSTGUG00000005293	100222887	Taeniopygia guttata	solute carrier family 22 member 7(SLC22A7)
ENSTGUG00000005298	101233224	Taeniopygia guttata	uncharacterized LOC101233224(LOC101233224)
ENSTGUG00000005297	100229331	Taeniopygia guttata	solute carrier family 11 member 1(SLC11A1)
ENSTGUG00000017269	100221801	Taeniopygia guttata	dynamin 3(DNM3)
ENSTGUG00000005291	100220602	Taeniopygia guttata	major facilitator superfamily domain containing 14A(MFSD14A)
ENSTGUG00000005290	115496052	Taeniopygia guttata	PNKD metallo-beta-lactamase domain containing(PNKD)
ENSTGUG00000018594	115495697	Taeniopygia guttata	small nucleolar RNA SNORA3/SNORA45 family(LOC115495697)
ENSTGUG00000017264	100230435	Taeniopygia guttata	Fas ligand(FASLG)
ENSTGUG00000017262	100222179	Taeniopygia guttata	Y-box binding protein 1(YBX1)
ENSTGUG00000017267	100219329	Taeniopygia guttata	peptidylprolyl isomerase H(PPIH)
ENSTGUG00000017265	100227616	Taeniopygia guttata	SUN domain containing ossification factor(SUCO)
ENSTGUG00000017266	100224721	Taeniopygia guttata	phosphatidylinositol glycan anchor biosynthesis class C(PIGC)
ENSTGUG00000005279	100220680	Taeniopygia guttata	fibrinogen gamma chain(FGG)
ENSTGUG00000005285	100222465	Taeniopygia guttata	forkhead box L2(FOXL2)
ENSTGUG00000005284	100218069	Taeniopygia guttata	tubulin tyrosine ligase(TTL)
ENSTGUG00000005283	100225688	Taeniopygia guttata	eukaryotic translation initiation factor 2B subunit alpha(EIF2B1)
ENSTGUG00000005287	100232195	Taeniopygia guttata	regulatory factor X3(RFX3)
ENSTGUG00000005286	100219602	Taeniopygia guttata	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta(PIK3CB)
ENSTGUG00000017258	100223767	Taeniopygia guttata	family with sequence similarity 78 member B(FAM78B)
ENSTGUG00000005281	100227677	Taeniopygia guttata	general transcription factor IIH subunit 3(GTF2H3)
ENSTGUG00000005280	100228312	Taeniopygia guttata	5'-nucleotidase, cytosolic IIIA(NT5C3A)
ENSTGUG00000017296	115494843	Taeniopygia guttata	ATPase H+ transporting V1 subunit B1(ATP6V1B1)
ENSTGUG00000001704	100224337	Taeniopygia guttata	DDB1 and CUL4 associated factor 12(DCAF12)
ENSTGUG00000017294	100225686	Taeniopygia guttata	dimethylaniline monooxygenase [N-oxide-forming] 4(LOC100225686)
ENSTGUG00000001708	100219436	Taeniopygia guttata	ubiquitin associated protein 1(UBAP1)
ENSTGUG00000001707	100190569	Taeniopygia guttata	septin 11(SEPTIN11)
ENSTGUG00000017299	105758489	Taeniopygia guttata	golgin, RAB6 interacting(GORAB)
ENSTGUG00000017293	100224696	Taeniopygia guttata	GDNF family receptor alpha 2(GFRA2)
ENSTGUG00000001700	100220115	Taeniopygia guttata	uncharacterized LOC100220115(LOC100220115)
ENSTGUG00000017290	100228569	Taeniopygia guttata	proline rich coiled-coil 2C(PRRC2C)
ENSTGUG00000017291	100219969	Taeniopygia guttata	Rho related BTB domain containing 2(RHOBTB2)
ENSTGUG00000001709	100227613	Taeniopygia guttata	zinc finger MYM-type containing 4(ZMYM4)
ENSTGUG00000017286	100224746	Taeniopygia guttata	lysyl oxidase like 2(LOXL2)
ENSTGUG00000017284	100227643	Taeniopygia guttata	ectonucleoside triphosphate diphosphohydrolase 4(ENTPD4)
ENSTGUG00000017288	100228590	Taeniopygia guttata	charged multivesicular body protein 7(CHMP7)
ENSTGUG00000001723	100224322	Taeniopygia guttata	cyclin I(CCNI)
ENSTGUG00000001728	100221401	Taeniopygia guttata	cyclin G2(CCNG2)
ENSTGUG00000001729	100229963	Taeniopygia guttata	ribonuclease P/MRP subunit p25 like(RPP25L)
ENSTGUG00000001720	100223289	Taeniopygia guttata	dynein axonemal intermediate chain 1(DNAI1)
ENSTGUG00000001722	100221797	Taeniopygia guttata	splicing factor proline and glutamine rich(SFPQ)
ENSTGUG00000001721	100232670	Taeniopygia guttata	microtubule associated monooxygenase, calponin and LIM domain containing 1(MICAL1)
ENSTGUG00000013708	116807387	Taeniopygia guttata	DNA methyltransferase 1(DNMT1)
ENSTGUG00000013701	100220299	Taeniopygia guttata	hemojuvelin BMP co-receptor(HJV)
ENSTGUG00000001713	115498561	Taeniopygia guttata	sphingomyelin phosphodiesterase 2(SMPD2)
ENSTGUG00000001714	100220086	Taeniopygia guttata	programmed cell death 6 interacting protein(PDCD6IP)
ENSTGUG00000001716	105760850	Taeniopygia guttata	uncharacterized LOC105760850(LOC105760850)
ENSTGUG00000001710	100230915	Taeniopygia guttata	kinesin family member 24(KIF24)
ENSTGUG00000000415	101233818	Taeniopygia guttata	ectoderm-neural cortex protein 1(LOC101233818)
ENSTGUG00000001745	100218277	Taeniopygia guttata	zinc finger protein 76(ZNF76)
ENSTGUG00000000414	100219935	Taeniopygia guttata	receptor tyrosine kinase like orphan receptor 2(ROR2)
ENSTGUG00000001748	101233836	Taeniopygia guttata	galactose-1-phosphate uridylyltransferase(GALT)
ENSTGUG00000000417	100232430	Taeniopygia guttata	nuclear factor, interleukin 3 regulated(NFIL3)
ENSTGUG00000000416	100218467	Taeniopygia guttata	Rho/Rac guanine nucleotide exchange factor 18(ARHGEF18)
ENSTGUG00000001749	100231695	Taeniopygia guttata	ribosomal protein L10a(RPL10A)
ENSTGUG00000000418	100231431	Taeniopygia guttata	AU RNA binding methylglutaconyl-CoA hydratase(AUH)
ENSTGUG00000001742	100219941	Taeniopygia guttata	gap junction protein beta 3(GJB3)
ENSTGUG00000000411	100219453	Taeniopygia guttata	arrestin domain containing 2(ARRDC2)
ENSTGUG00000000410	100218624	Taeniopygia guttata	POU class 2 homeobox 3(POU2F3)
ENSTGUG00000001744	100223821	Taeniopygia guttata	CUB and Sushi multiple domains 2(CSMD2)
ENSTGUG00000000413	100221383	Taeniopygia guttata	DEAD-box helicase 41(DDX41)
ENSTGUG00000001743	100228987	Taeniopygia guttata	Fraser extracellular matrix complex subunit 1(FRAS1)
ENSTGUG00000000412	100224300	Taeniopygia guttata	docking protein 3(DOK3)
ENSTGUG00000001735	100219211	Taeniopygia guttata	peroxisome proliferator activated receptor delta(PPARD)
ENSTGUG00000001734	100228562	Taeniopygia guttata	DLG associated protein 3(DLGAP3)
ENSTGUG00000000403	100220479	Taeniopygia guttata	microtubule associated serine/threonine kinase 3(MAST3)
ENSTGUG00000001737	100218557	Taeniopygia guttata	CCR4-NOT transcription complex subunit 6 like(CNOT6L)
ENSTGUG00000000405	100224404	Taeniopygia guttata	tripartite motif containing 29(TRIM29)
ENSTGUG00000001739	100231896	Taeniopygia guttata	mitochondrial ribosomal protein L1(MRPL1)
ENSTGUG00000000408	100227182	Taeniopygia guttata	PDZ and LIM domain 7(PDLIM7)
ENSTGUG00000001738	101234055	Taeniopygia guttata	DEF6 guanine nucleotide exchange factor(DEF6)
ENSTGUG00000000407	100221467	Taeniopygia guttata	out at first homolog(OAF)
ENSTGUG00000000409	100226503	Taeniopygia guttata	mitogen-activated protein kinase kinase kinase 3(LOC100226503)
ENSTGUG00000001731	100232474	Taeniopygia guttata	cytoplasmic linker associated protein 2(CLASP2)
ENSTGUG00000001733	115498566	Taeniopygia guttata	probable E3 ubiquitin-protein ligase makorin-1(LOC115498566)
ENSTGUG00000000402	100232310	Taeniopygia guttata	acetyl-CoA acyltransferase 1(ACAA1)
ENSTGUG00000001732	101233206	Taeniopygia guttata	FA complementation group E(FANCE)
ENSTGUG00000000401	100217964	Taeniopygia guttata	serine palmitoyltransferase long chain base subunit 1(SPTLC1)
ENSTGUG00000006536	100227016	Taeniopygia guttata	dCMP deaminase(DCTD)
ENSTGUG00000005205	100219715	Taeniopygia guttata	RRN3 homolog, RNA polymerase I transcription factor(RRN3)
ENSTGUG00000006535	100231238	Taeniopygia guttata	unc-13 homolog C(UNC13C)
ENSTGUG00000006534	100228596	Taeniopygia guttata	glucosamine (N-acetyl)-6-sulfatase(GNS)
ENSTGUG00000005203	100229304	Taeniopygia guttata	butyrophilin subfamily 1 member A1(LOC100229304)
ENSTGUG00000006533	100190731	Taeniopygia guttata	metallothionein II-like(LOC100190731)
ENSTGUG00000005202	100218100	Taeniopygia guttata	cellular communication network factor 5(CCN5)
ENSTGUG00000005209	100220339	Taeniopygia guttata	GINS complex subunit 4(GINS4)
ENSTGUG00000007864	100190382	Taeniopygia guttata	proteasome 20S subunit alpha 7(PSMA7)
ENSTGUG00000007865	100224749	Taeniopygia guttata	solute carrier family 6 member 15(SLC6A15)
ENSTGUG00000006538	100228177	Taeniopygia guttata	bleomycin hydrolase(BLMH)
ENSTGUG00000005207	100231791	Taeniopygia guttata	jumonji domain containing 1C(JMJD1C)
ENSTGUG00000006537	100219334	Taeniopygia guttata	proline rich coiled-coil 1(PRRC1)
ENSTGUG00000005206	100230548	Taeniopygia guttata	adenosine deaminase(ADA)
ENSTGUG00000007867	100230303	Taeniopygia guttata	FAST kinase domains 1(FASTKD1)
ENSTGUG00000007872	100218369	Taeniopygia guttata	zinc finger AN1-type containing 4(ZFAND4)
ENSTGUG00000007873	100222152	Taeniopygia guttata	synapse associated protein 1(SYAP1)
ENSTGUG00000007874	100231470	Taeniopygia guttata	ribosomal protein L13(RPL13)
ENSTGUG00000006543	100220286	Taeniopygia guttata	WW and C2 domain containing 2(WWC2)
ENSTGUG00000005212	100226524	Taeniopygia guttata	angio associated migratory cell protein(AAMP)
ENSTGUG00000006542	100218028	Taeniopygia guttata	acyl-CoA dehydrogenase family member 10(ACAD10)
ENSTGUG00000005211	100219372	Taeniopygia guttata	glycerol-3-phosphate acyltransferase 4(GPAT4)
ENSTGUG00000006541	100227049	Taeniopygia guttata	spalt like transcription factor 3(SALL3)
ENSTGUG00000005210	100231507	Taeniopygia guttata	glycine N-methyltransferase(GNMT)
ENSTGUG00000006540	100190094	Taeniopygia guttata	metallothionein-I-like(LOC100190094)
ENSTGUG00000018515	100219510	Taeniopygia guttata	TNF alpha induced protein 8 like 1(TNFAIP8L1)
ENSTGUG00000007857	100230761	Taeniopygia guttata	ribophorin I(RPN1)
ENSTGUG00000006524	100222235	Taeniopygia guttata	SSX family member 2 interacting protein(SSX2IP)
ENSTGUG00000006523	100231471	Taeniopygia guttata	Ras association domain family member 3(RASSF3)
ENSTGUG00000007859	100221220	Taeniopygia guttata	membrane associated ring-CH-type finger 8(MARCHF8)
